dataset,token_setting,method,selection_method,run_id,layer_idx,sample_count,pairwise_available_count,pairwise_available,mean_pairwise_similarity_token_count,mean_mean_pairwise_similarity,mean_median_pairwise_similarity,mean_max_pairwise_similarity,mean_p90_pairwise_similarity,mean_similarity_above_0.80_ratio,mean_similarity_above_0.85_ratio,mean_similarity_above_0.90_ratio
pope,64,SparseVLM-Original,topk,POPE-STAGE8-SPARSE-ORIG-64,2,500,500,true,66.000000,0.257052,0.186251,0.999782,0.615662,0.055796,0.044225,0.032430
pope,64,SparseVLM-Original,topk,POPE-STAGE8-SPARSE-ORIG-64,6,500,500,true,30.000000,0.250265,0.170042,0.999505,0.666032,0.069375,0.057145,0.045545
pope,64,Threshold-Adaptive,threshold_adaptive,POPE-THRESHOLD-ADAPT-080,15,1500,0,false,,,,,,,,
pope,64,Threshold-Adaptive,threshold_adaptive,POPE-THRESHOLD-ADAPT-080,2,1500,0,false,,,,,,,,
pope,64,Threshold-Adaptive,threshold_adaptive,POPE-THRESHOLD-ADAPT-080,6,1500,0,false,,,,,,,,
pope,64,Threshold-Adaptive,threshold_adaptive,POPE-THRESHOLD-ADAPT-085,15,1500,0,false,,,,,,,,
pope,64,Threshold-Adaptive,threshold_adaptive,POPE-THRESHOLD-ADAPT-085,2,1500,0,false,,,,,,,,
pope,64,Threshold-Adaptive,threshold_adaptive,POPE-THRESHOLD-ADAPT-085,6,1500,0,false,,,,,,,,
pope,64,Threshold-Adaptive,threshold_adaptive,POPE-THRESHOLD-ADAPT-090,15,1500,0,false,,,,,,,,
pope,64,Threshold-Adaptive,threshold_adaptive,POPE-THRESHOLD-ADAPT-090,2,1500,0,false,,,,,,,,
pope,64,Threshold-Adaptive,threshold_adaptive,POPE-THRESHOLD-ADAPT-090,6,1500,0,false,,,,,,,,
pope,64,Threshold-Fixed-k,threshold_fixed,POPE-STAGE8-THRESHOLD-FIXED-64,15,500,500,true,17.000000,0.283629,0.267263,0.810907,0.554574,0.009735,0.000000,0.000000
pope,64,Threshold-Fixed-k,threshold_fixed,POPE-STAGE8-THRESHOLD-FIXED-64,2,500,500,true,66.000000,0.303539,0.277949,0.847559,0.575962,0.012357,0.000000,0.000000
pope,64,Threshold-Fixed-k,threshold_fixed,POPE-STAGE8-THRESHOLD-FIXED-64,6,500,500,true,30.000000,0.320245,0.298012,0.840651,0.623743,0.017798,0.000000,0.000000
pope,64,Threshold-Fixed-k,threshold_fixed,POPE-THRESHOLD-FIXED-64,15,1500,0,false,,,,,,,,
pope,64,Threshold-Fixed-k,threshold_fixed,POPE-THRESHOLD-FIXED-64,2,1500,0,false,,,,,,,,
pope,64,Threshold-Fixed-k,threshold_fixed,POPE-THRESHOLD-FIXED-64,6,1500,0,false,,,,,,,,
